trade_id,asset,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
1,TRX,LONG,2024-07-10 12:00:00+00:00,2024-07-10 12:30:00+00:00,0.13035,0.1308989819641436,30m,122,0.9619879722595215,0.9346504807472229,5,2500.0,0.12977499998724087,ADAPTIVE_TRAIL_HIT,1,0.5,2.1058,52.64,0.9616
2,TRX,LONG,2024-07-10 13:00:00+00:00,2024-07-10 13:30:00+00:00,0.13042,0.13096426675778863,30m,124,0.9616877436637878,0.9345154166221619,5,2500.0,0.1298449999872409,ADAPTIVE_TRAIL_HIT,1,0.5,2.0866,52.16,0.9615
3,TRX,LONG,2024-07-10 14:00:00+00:00,2024-07-10 14:30:00+00:00,0.13071,0.13103986731021144,30m,126,0.9619466066360474,0.9345976710319519,5,2500.0,0.13011535715722944,ADAPTIVE_TRAIL_HIT,1,0.5,1.2618,31.55,0.9618
4,TRX,LONG,2024-07-10 15:00:00+00:00,2024-07-10 16:00:00+00:00,0.13135,0.13125618529058206,1h,65,0.9634318947792053,0.904439389705658,5,2500.0,0.1302803571783239,ADAPTIVE_TRAIL_HIT,1,1.0,-0.3571,-8.93,0.9646
5,TRX,LONG,2024-07-11 00:00:00+00:00,2024-07-11 01:00:00+00:00,0.13179,0.1320084634399922,1h,75,0.9690215587615967,0.926206111907959,5,2500.0,0.13064357145103625,ADAPTIVE_TRAIL_HIT,1,1.0,0.8288,20.72,0.97
6,TRX,LONG,2024-07-11 01:00:00+00:00,2024-07-11 02:00:00+00:00,0.13223,0.13213288166766657,1h,76,0.9701328277587891,0.9289462566375732,5,2500.0,0.13100857146202585,ADAPTIVE_TRAIL_HIT,1,1.0,-0.3672,-9.18,0.9712
7,TRX,LONG,2024-07-11 02:00:00+00:00,2024-07-11 03:00:00+00:00,0.13261,0.132250322443037,1h,77,0.9712938070297241,0.9317705035209656,5,2500.0,0.13130642851990648,ADAPTIVE_TRAIL_HIT,1,1.0,-1.3561,-33.9,0.9723
8,TRX,LONG,2024-07-11 03:00:00+00:00,2024-07-11 03:05:00+00:00,0.13277,0.132678058854891,5m,32,0.9833797812461853,0.9690192937850952,5,2500.0,0.13225928572848672,ADAPTIVE_TRAIL_HIT,1,0.08,-0.3462,-8.66,0.9801
9,TRX,LONG,2024-07-11 04:00:00+00:00,2024-07-11 23:00:00+00:00,0.13272,0.1348601388209926,1h,79,0.9733797907829285,0.9368788599967957,5,2500.0,0.13133964286537841,ADAPTIVE_TRAIL_HIT,19,19.0,8.0626,201.57,0.9757
10,ADA,LONG,2024-07-11 08:00:00+00:00,2024-07-11 09:00:00+00:00,0.393,0.39176176646352795,1h,66,0.9643774032592773,0.9387972950935364,5,2500.0,0.3836785716302693,ADAPTIVE_TRAIL_HIT,1,1.0,-1.5754,-39.38,0.9651
11,ADA,LONG,2024-07-11 09:00:00+00:00,2024-07-11 10:00:00+00:00,0.3931,0.3922163084517184,1h,67,0.9658814668655396,0.9402529001235962,5,2500.0,0.3836714287888259,ADAPTIVE_TRAIL_HIT,1,1.0,-1.124,-28.1,0.9666
12,ADA,LONG,2024-07-11 10:00:00+00:00,2024-07-11 12:00:00+00:00,0.3935,0.3934583640897662,1h,68,0.9672764539718628,0.9415416121482849,5,2500.0,0.38410714268125595,ADAPTIVE_TRAIL_HIT,2,2.0,-0.0529,-1.32,0.968
13,TRX,LONG,2024-07-12 08:00:00+00:00,2024-07-12 09:00:00+00:00,0.13587,0.1358973302712235,1h,107,0.9853916764259338,0.967361330986023,5,2500.0,0.13435214283701963,ADAPTIVE_TRAIL_HIT,1,1.0,0.1006,2.51,0.9856
14,TRX,LONG,2024-07-12 09:00:00+00:00,2024-07-12 10:00:00+00:00,0.13583,0.13601733747674957,1h,108,0.985693633556366,0.967994749546051,5,2500.0,0.134335357070826,ADAPTIVE_TRAIL_HIT,1,1.0,0.6896,17.24,0.986
